OrderID,Product,Region,Quantity,UnitPrice,OrderDate,TotalSales
2000,Clothing,West,7,251,2023-04-06,1757
2001,Electronics,West,1,232,2023-02-07,232
2002,Home & Kitchen,West,8,98,2023-03-28,784
2003,Electronics,West,3,233,2023-03-29,699
2004,Electronics,West,6,135,2023-02-19,810
2005,Sports,North,9,111,2023-01-08,999
2006,Home & Kitchen,West,6,289,2023-06-18,1734
2007,Home & Kitchen,North,9,430,2023-05-14,3870
2008,Home & Kitchen,West,7,400,2023-03-10,2800
2009,Electronics,East,9,187,2023-06-21,1683
2010,Clothing,South,2,77,2023-05-01,154
2011,Home & Kitchen,North,8,303,2023-03-05,2424
2012,Electronics,West,8,45,2023-06-06,360
2013,Sports,East,2,388,2023-06-05,776
2014,Clothing,South,4,466,2023-05-19,1864
2015,Sports,North,7,85,2023-05-01,595
2016,Clothing,South,4,428,2023-03-06,1712
2017,Electronics,East,4,267,2023-04-17,1068
2018,Books,North,6,273,2023-05-27,1638
2019,Clothing,South,10,406,2023-05-17,4060
2020,Sports,West,6,475,2023-06-04,2850
2021,Electronics,North,10,63,2023-06-11,630
2022,Clothing,South,3,116,2023-06-21,348
2023,Books,East,9,61,2023-07-15,549
2024,Books,East,10,246,2023-04-10,2460
2025,Home & Kitchen,North,2,281,2023-03-23,562
2026,Home & Kitchen,South,6,186,2023-05-23,1116
2027,Sports,North,7,455,2023-02-20,3185
2028,Clothing,North,9,298,2023-05-21,2682
2029,Clothing,South,3,108,2023-03-24,324
2030,Home & Kitchen,South,10,398,2023-06-26,3980
2031,Clothing,West,3,197,2023-07-17,591
2032,Clothing,South,7,446,2023-04-22,3122
2033,Books,East,4,422,2023-02-25,1688
2034,Home & Kitchen,North,8,216,2023-06-28,1728
2035,Electronics,North,7,326,2023-06-14,2282
2036,Home & Kitchen,East,5,286,2023-05-25,1430
2037,Electronics,South,7,287,2023-07-05,2009
2038,Books,East,3,93,2023-06-06,279
2039,Sports,East,2,27,2023-06-10,54
2040,Clothing,West,6,427,2023-03-01,2562
2041,Books,East,2,495,2023-04-30,990
2042,Clothing,North,3,316,2023-07-02,948
2043,Sports,East,6,183,2023-05-18,1098
2044,Sports,North,5,104,2023-06-24,520
2045,Books,North,8,91,2023-01-23,728
2046,Sports,North,9,74,2023-05-29,666
